sensor,date,Base,Linear,Circular
sm_station_1,2022-07-02,1.8883456454691847,1.6058662785660551,-0.0001
sm_station_1,2022-07-22,1.1484922207660502,0.24566540235809717,-0.0001
sm_station_1,2022-07-28,0.20700992098673954,0.41504783299930076,-0.0001
sm_station_1,2022-08-17,0.05336759763726325,0.42473138012218187,-0.0001
sm_station_1,2022-09-06,0.16124174537567537,0.18005818211289615,-0.0001
sm_station_1,2022-09-26,0.2134390323809221,0.41986361568205793,-0.0001
sm_station_1,2022-10-17,1.0374279438465825,0.26384070244623725,-0.0001
sm_station_2,2022-07-02,2.252989133763265,-0.0001,-0.0001
sm_station_2,2022-07-22,0.6715261230655102,-0.0001,-0.0001
sm_station_2,2022-07-28,1.0712320538091296,-0.0001,-0.0001
sm_station_2,2022-08-17,0.4350778444047692,-0.0001,-0.0001
sm_station_2,2022-09-06,0.7827409169607273,-0.0001,-0.0001
sm_station_2,2022-09-26,0.10710583345476869,-0.0001,-0.0001
sm_station_2,2022-10-17,0.14460930535663152,-0.0001,-0.0001
sm_station_3,2022-07-02,0.8854496385290526,-0.0001,0.8395439662714196
sm_station_3,2022-07-22,0.2799701347415757,-0.0001,0.21599513570313564
sm_station_3,2022-07-28,0.192018517761919,-0.0001,0.4377249075777205
sm_station_3,2022-08-17,0.3221365433383087,-0.0001,0.24245960434499603
sm_station_3,2022-09-06,0.12381744590281911,-0.0001,0.09043998108288213
sm_station_3,2022-09-26,0.28771101874593824,-0.0001,0.17251201975604147
sm_station_3,2022-10-17,0.09743957964506637,-0.0001,0.17545893656282452
sm_station_4,2022-07-02,11.27502773779527,6.4204078335606,10.71171728688372
sm_station_4,2022-07-22,0.8435183225217561,-0.0001,0.6040586587407469
sm_station_4,2022-07-28,0.16881311910585386,0.23653583081547,0.23457328129493712
sm_station_4,2022-08-17,0.14023374164965663,0.2504489179496702,0.15377627361582805
sm_station_4,2022-09-06,0.04703717852912481,1.1561831299877225,0.2046909206304767
sm_station_4,2022-09-26,0.405838595265448,0.08196654624915449,0.2521795708307553
sm_station_4,2022-10-17,0.07168306973265286,-0.0001,0.0835422017229351
sm_station_5,2022-07-02,24.21419830795992,-0.0001,-0.0001
sm_station_5,2022-07-22,1.4001528684614444,-0.0001,-0.0001
sm_station_5,2022-07-28,0.5860232327639464,-0.0001,-0.0001
sm_station_5,2022-08-17,0.31441634001427055,-0.0001,-0.0001
sm_station_5,2022-09-06,0.46809234639806635,-0.0001,-0.0001
sm_station_5,2022-09-26,0.2014675213482405,-0.0001,-0.0001
sm_station_5,2022-10-17,0.18983533859912086,-0.0001,-0.0001
sm_station_6,2022-07-02,-0.0001,1.0602405622441067,-0.0001
sm_station_6,2022-07-22,0.7621943355405977,-0.0001,0.5372015959213382
sm_station_6,2022-07-28,0.3119810208294546,-0.0001,0.3320049591367429
sm_station_6,2022-08-17,0.3195778533098288,0.2836865598010805,0.3230437692548585
sm_station_6,2022-09-06,0.12435077866680588,,0.08699690345140236
sm_station_6,2022-09-26,0.3332288190994686,0.44326198352310886,0.1642754826163547
sm_station_6,2022-10-17,0.8322335520752594,-0.0001,0.4372071072062189
